rank,team,run_id,model,model_type,f1_score,accuracy,precision,recall,submission_date,submitter,submitter_url,pr_number,submission_path
1,team_100,run_100,My GNN v_100,human,0.38,0.61,0.0,0.0,2026-03-07 18:17,participant,https://github.com/participant,,submissions/inbox/team_100/run_100/predictions.csv
1,TugaYousif,run_1,SAGEBlock,human,0.38,0.39,0.26,0.33,2026-03-07 18:17,participant,https://github.com/participant,,submissions/inbox/TugaYousif/run_1/predictions.csv
2,organizers,advanced_gnn,Advanced GNN (GraphSAGE),human,0.33,0.4,0.15,0.12,2026-03-07 18:17,organizer_bot,https://github.com/organizer_bot,,submissions/inbox/organizers/advanced_gnn/predictions.csv
